,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
1951,Kurt Vonnegut,0440131480,9780440131489,,Dell Pub. Co.,"Breakfast of champions, or, Goodbye blue Monday!",1991
1952,Véronique Vienne,0609600745,9780609600740,,C. Potter,The art of doing nothing: simple ways to make time for yourself,1998
1953,Sandor Marai,0375707425,9780375707421,,Vintage Books,Embers,2002
1954,Sándor Márai,0375707425,9780375707421,,Vintage Books,Embers,2002
1955,Tom Clancy,3453151933,9783453151932,de,,Tom Clancy's power plays: ruthless.com,1999
1956,Martin Greenberg,3453151933,9783453151932,de,,Tom Clancy's power plays: ruthless.com,1999
1957,Mark A. S. McMenamin,0231105592,9780231105590,,Columbia University Press,The garden of Ediacara: discovering the first complex life,2000
1958,Nancy K. Robinson,0590317822,9780590317825,,,Just plain cat,
1959,Jillian Lund,014056232X,9780140562323,,Puffin,Way out West lives a coyote named Frank,1997
1960,Ann Rinaldi,0590447319,9780590447317,,Scholastic Inc.,In my father's house,1993
1961,Scott O'Dell,0440940001,9780440940005,,Dell,Island of the Blue Dolphins,1978
1962,Thomas Rockwell,0440401119,9780440401117,en,Yearling Books,How To Fight A Girl,1987
1963,Louise Plummer,0440203155,9780440203155,,,The romantic obsessions and humiliations of Annie Sehlmeier,
1964,Orson Scott Card,0812565959,9780812565959,,Tor Books,Shadow of the Hegemon,2001
1965,Dave Duncan,034536628X,9780345366283,en,New York : Ballantine Books,Magic Casement,1990
1966,Richard Awlinson,0880387483,9780880387484,,Wizards of the Coast,Tantras,1989
1967,Richard Awlinson,0880387300,9780880387309,en,,Shadowdale,1989
1968,John Sandford,0425163385,9780425163382,,Berkley Books,The night crew,1998
1969,Max Allan Collins,0743444051,9780743444057,,Pocket Star Books,Sin City,2002
1970,Patricia Kennealy-Morrison,0061056103,9780061056109,,HarperPrism,Blackmantle: a triumph: a book of the Keltiad,1998
1971,Jeffery Deaver,0671042262,9780671042264,,Pocket Books,The blue nowhere,2001
1972,John Sandford,0425157539,9780425157534,,Berkley Books,Sudden prey,1997
1973,Kay Hooper,0553585681,9780553585681,,Bantam Books,Always a thief,2003
1974,Kay Hooper,0553585118,9780553585117,,Bantam Books,Once a thief,2002
1975,Julie Czerneda,0886777690,9780886777692,en,"D A W Books, Incorporated",A Thousand Words For Stranger,1997
1976,Mary Higgins Clark,0743212002,9780743212007,en,Simon & Schuster,Deck The Halls,2000
1977,Carol Higgins Clark,0743212002,9780743212007,en,Simon & Schuster,Deck The Halls,2000
1978,Heller,3426650754,9783426650752,,Droemersche Verlagsanstalt Th. Knaur Nachf. GmbH &,Der Mann der's wert ist. Roman,1994
1979,Jan McDaniel,1854877178,9781854877178,,Scarlet Books,Come home forever,1997
1980,Genell Dellin,0380803526,9780380803521,,Avon Books,The renegades,1999
1981,Carole Mortimer,0373152655,9780373152650,,Harlequin Books,Christmas miracles,1997
1982,Rebecca Winters,0373152655,9780373152650,,Harlequin Books,Christmas miracles,1997
1983,Betty Neels,0373152655,9780373152650,,Harlequin Books,Christmas miracles,1997
1984,Barbara Dolan,0451404033,9780451404039,,Signet,Fires in the mist,1994
1985,Viveca Carlysle,1583140352,9781583140352,,Kimani Press,Return to love,1999
1986,Judy Jackson,1854879073,9781854879073,,Scarlet Books,The marriage plan,1997
1987,Nora Roberts,037348397X,9780373483976,,Silhouette Books,The Donovan legacy,1999
1988,Anonymous teenager.,0380773155,9780380773152,,Avon Books,It happened to Nancy,1994
1989,Ken Follett,3404100263,9783404100262,,Gustav Lubbe Verlag GmbH,La cruna dell'ago,1980
1990,Peter Mayle,0679731148,9780679731146,,Vintage Books,A year in Provence,1991
1991,Philip K. Dick,2070417700,9782070417704,,,Deus Irae,
1992,Roger Zelazny,2070417700,9782070417704,,,Deus Irae,
1993,Ernest Hemingway,2070360075,9782070360079,,Gallimard,The old man and the sea,1971
1994,Douglas Kennedy,0786889373,9780786889372,en,Voice,The Big Picture,1998
1995,Philip K. Dick,2207245810,9782207245811,,Denoël,Radio Free Albemuth,1998
1996,Philip K. Dick,2207250474,9782207250471,,Denoël,VALIS,2000
1997,Philip K. Dick,2290331406,9782290331408,,,Dr. Bloodmoney,
1998,Dick,2070426815,9782070426812,,Gallimard,L'Oeil de la sibylle,2003
1999,Philip K. Dick,2290305251,9782290305256,,J'ai lu,A rebrousse-temps,1999
2000,John Steinbeck,2070364283,9782070364282,,Editions Flammarion,The pearl,1998
2001,T.H. Huxley,2266128566,9782266128568,,Pocket,Le meilleur des mondes,2002
2002,Edgar Allan Poe,2070363104,9782070363100,en,,Histoires Extraordinaires,1972
2003,Paulo Coelho,2253152277,9782253152279,,Anne Carrière,Veronika decides to die,2000
2004,Mark Z. Danielewski,2207252000,9782207252000,,Denoël,House of leaves,2002
2005,Robin Cook,2253170453,9782253170457,fr,LGF/Le Livre de Poche,Acceptable risk,1998
2006,P. Makyo,2723409821,9782723409827,,Glénat,La Pierre de folie,1994
2007,Douglas Adams,2070415686,9782070415687,,Editions Flammarion,The hitchhiker's guide to the galaxy,2000
2008,Philip K. Dick,2258036992,9782258036994,,Presses de la Cité,La porte obscure,1994
2009,Philip K. Dick,2207251756,9782207251751,,Denoël,Nouvelles,2000
2010,Rene Barjavel,2266000489,9782266000482,,Presses De La Cite French,The ice people,1998
2011,Albert Camus,2070360423,9782070360420,,Gallimard,The plague,1990
2012,Stan Berenstain,0394822862,9780394822860,,Random House,Bears in the night,2002
2013,A. J. Wood,0874493803,9780874493801,,Modern Publishing,A first book of shapes,1988
2014,Sunny Griffin,1569870942,9781569870945,,Landoll,Edgar: the lion who would be a good king,1993
2015,Disney Enterprises Inc,1579730272,9781579730277,en,Advance Publishers LLC,The Not-So-Perfect Picnic,1998
2016,Pixar Animation Studios,1579730272,9781579730277,en,Advance Publishers LLC,The Not-So-Perfect Picnic,1998
2017,Maida Silverman,0307177092,9780307177094,,Golden books,Peters Welcom Tell a Tale Book,
2018,Jean Giraudoux,2253004898,9782253004899,,B. Grasset,Tiger at the gates = (La guerre de Troie n'aura pas lieu),1984
2019,Nicholas Ross,0812094271,9780812094275,en,Barrons Juveniles,Miró,1995
2020,Lynne Reid Banks,0380600129,9780380600120,en,Harper Collins,The Indian In The Cupboard,1980
2021,Brock Cole,0380600129,9780380600120,en,Harper Collins,The Indian In The Cupboard,1980
2022,H. G. Wells,0451522389,9780451522382,,,The time machine and the invisible man,
2023,John Calvin Batchelor,0451522389,9780451522382,,,The time machine and the invisible man,
2024,Paul Youngquist,0451522389,9780451522382,,,The time machine and the invisible man,
2025,Carolyn Wheat,0425169324,9780425169322,,Berkley Prime Crime,Sworn to defend,1999
2026,Fern Michaels,082176828X,9780821768280,,,What you wish for,
2027,James Patterson,0316693324,9780316693325,,"Little, Brown",When the wind blows: a novel,1998
2028,Dan Simmons,0553283685,9780553283686,,Bantam Books,Hyperion,1990
2029,Malaika Rose Stanley,1841215457,9781841215457,,Orchard Books,Dad alert!,2000
2030,R. L. Stine,0064410358,9780064410359,,Avon Books,No survivors,2001
2031,Steve Barlow,0007108648,9780007108640,,HarperCollins UK,Whizzard!,2002
2032,Isobel Bird,0064472930,9780064472937,,Avon Books,Second sight,2001
2033,Katherine A. Applegate,0590629824,9780590629829,,Scholastic,The capture,1997
2034,Stephen King,0743412273,9780743412278,,,Pet sematary,2001
2035,Anonimo,8420725927,9788420725925,,Continental Book Company,"La vida de Lazarillo de Tormes, y de sus fortunas y adversidades",1998
2036,John Mortimer,0140089586,9780140089585,,Penguin Books,The second Rumpole omnibus,1988
2037,Matt Christopher,0316140651,9780316140652,,"Little, Brown",Johnny Long Legs,1995
2038,Janet Evanovich,1559277785,9781559277785,,Audio Renaissance,Full house,2002
2039,Anne Rice,0345367898,9780345367891,,Ballantine Books,Lasher: a novel,1991
2040,Marilyn Penovich Friend,0205280854,9780205280858,,Allyn and Bacon,Including students with special needs: a practical guide for classroom teachers,1999
2041,Brian Herbert,0553110721,9780553110722,,Bantam Books,Dune,2000
2042,"Stephens, C. A.",1558534245,9781558534247,,Rutledge Hill Press,Sailing on the ice and other stories from the old squire's farm,1996
2043,Brian Herbert,0553580272,9780553580273,en,Spectra,Dune--House Atreides,2000
2044,Kevin J. Anderson,0553580272,9780553580273,en,Spectra,Dune--House Atreides,2000
2045,Mary Evans O'Keefe Gravalos,1560980087,9781560980087,,Smithsonian Institution Press,Bertha Lum,1991
2046,Randall Rothenberg,0679412271,9780679412274,en,Alfred a Knopf Incorporated,Where The Suckers Moon: An Advertising Story,1994
2047,Enos Abijah Mills,0803281730,9780803281738,,University of Nebraska Press,The Rocky Mountain wonderland,1991
2048,Terry Brooks,0345396529,9780345396525,,Ballantine Books,First king of Shannara,1996
2049,John Dennis Fitzgerald,0440455332,9780440455332,,Dell Publ. Co.,Me and my little brain,1981
2050,Sebastiano Vassalli,1860462995,9781860462993,en,Harvill Pr,The Swan: A Novel,1997
2051,Patrick McGrath,0679452281,9780679452287,en,Random House Incorporated,Asylum,1997
2052,William Kotzwinkle,0811807150,9780811807159,en,Chronicle Books Llc,Swimmer In The Secret Sea: A Novel,1994
2053,Vincent Bugliosi,0393029190,9780393029192,en,W. W. Norton,And The Sea Will Tell,1991
2054,Bruce B. Henderson,0393029190,9780393029192,en,W. W. Norton,And The Sea Will Tell,1991
2055,Mark Richard,0385425686,9780385425681,en,Anchor,Fishboy: A Ghost's Story,1994
2056,Ben Elton,0312169655,9780312169657,,St. Martin's Press,Popcorn,1997
2057,,0785324712,9780785324713,,Publications International Ltd.,Great American favorite brand name cookbook,1997
2058,Mary Doria Russell,0449912558,9780449912553,,Ballantine Books,The sparrow,2004
2059,MacDonald Harris,0934257345,9780934257343,,Story Line Press,Glad rags,1991
2060,Lawrence Goldstone,0312205872,9780312205874,,Thomas Dunne Books,Slightly chipped: footnotes in booklore,1999
2061,Nancy Bazelon Goldstone,0312205872,9780312205874,,Thomas Dunne Books,Slightly chipped: footnotes in booklore,1999
2062,Leslie Land,0670867144,9780670867141,en,Viking Press,"The 3,000 Mile Garden: An Exchange Of Letters On Gardening, Food, And The Good Life",1996
2063,Roger Phillips,0670867144,9780670867141,en,Viking Press,"The 3,000 Mile Garden: An Exchange Of Letters On Gardening, Food, And The Good Life",1996
2064,Rikki Ducornet,0805051732,9780805051735,,Henry Holt,The word &quot;desire&quot,1997
2065,Victor Hugo,0449300021,9780449300022,,,Les misérables,
2066,Charles E. Wilbour,0449300021,9780449300022,,,Les misérables,
2067,Norman Denny,0449300021,9780449300022,,,Les misérables,
2068,Lee Fahnestock,0449300021,9780449300022,,,Les misérables,
2069,Norman MacAfee,0449300021,9780449300022,,,Les misérables,
2070,Mead Schaeffer,0449300021,9780449300022,,,Les misérables,
2071,Mary Higgins Clark,0684835983,9780684835983,,Simon & Schuster,Before I say good-bye,2000
2072,Judy Blume,0440226430,9780440226437,,Dell Pub.,Summer sisters: a novel,2001
2073,Jennifer Egan,0385721358,9780385721356,en,Anchor,Look At Me: A Novel,2002
2074,Dodie Smith,031231616X,9780312316167,,St. Martin's Griffin,I capture the castle,2003
2075,Doug Lowe,0764504509,9780764504501,,IDG Books Worldwide,PowerPoint 2000 for Windows for dummies,1999
2076,Arlene Eisenberg,089480829X,9780894808296,,Workman Pub.,What to expect when you're expecting,1991
2077,"Green, Jane",0767912233,9780767912235,,Broadway Books,Babyville: a novel,2003
2078,Gary Ezzo,0971453217,9780971453210,,Parent-Wise Solutions Inc,On becoming babywise,2001
2079,Robert Bucknam,0971453217,9780971453210,,Parent-Wise Solutions Inc,On becoming babywise,2001
2080,Gary Ezzo,0971453209,9780971453203,,Parent-Wise Solutions,On becoming babywise,2001
2081,Robert Bucknam,0971453209,9780971453203,,Parent-Wise Solutions,On becoming babywise,2001
2082,Dennis Rainey,0785268030,9780785268031,,Thomas Nelson,Starting your marriage right: what you need to know and do in the early years to make it last a lifetime,2000
2083,Barbara Rainey,0785268030,9780785268031,,Thomas Nelson,Starting your marriage right: what you need to know and do in the early years to make it last a lifetime,2000
2084,"Gardner, David",0743201736,9780743201735,,Fireside,The Motley Fool investment guide: how the fool beats Wall Street's wise men and how you can too,2001
2085,Arlene Eisenberg,0894805770,9780894805776,,Workman,What to expect the first year,1989
2086,Joan D. Vinge,0440177499,9780440177494,,Dell,The snow queen,1981
2087,R.A. Macavoy,0553232053,9780553232059,,Bantam Books Ltd,Tea with the black dragon,1983
2088,Brooke Stevens,0312269102,9780312269104,,St. Martin's Griffin,Tattoo girl,2001
2089,Paulo Coelho,0062502174,9780062502179,,HarperSanFrancisco,The alchemist,1993
2090,Ann B. Ross,0688177751,9780688177751,,Harper Paperbacks,Miss Julia speaks her mind: a novel,2000
2091,Adriana Trigiani,0345438329,9780345438324,en,"Random House Digital, Inc.",Big Stone Gap: A Novel,2001
2092,Bebe Moore Campbell,0345401123,9780345401120,,Ballatine Books,Your blues ain't like mine,1995
2093,Barbara Corcoran,1593160151,9781593160159,,Listen & Live Audio,Use what you've got: &amp;amp; other business lessons I learned from my Mom,2003
2094,Amy Hassinger,1593160127,9781593160128,,Listen & Live Audio,Nina: adolescence,2003
2095,"Jong, Erica.",0451209435,9780451209436,,New American Library,Fear of flying: a novel,2003
2096,Diana Palmer (Susan Kyle),1551669501,9781551669502,,Harlequin Books,Diamond Spur,2002
2097,Bernhard Schlink,0375707972,9780375707971,,Vintage,The reader,1999
2098,J. R. R. Tolkien,0618126988,9780618126989,,Houghton Mifflin,The Silmarillion,2001
2099,Rebecca Godfrey,0060094850,9780060094850,,Perennial,The torn skirt,2002
2100,Wayne W. Dyer,0060192305,9780060192303,,HarperCollins,There's a spiritual solution to every problem,2001
2101,Lois Battle,0142000361,9780142000366,,Penguin Books,The Florabama Ladies' Auxiliary &amp;amp; Sewing Circle,2002
2102,Allen Ginsberg,0872860175,9780872860179,,City Lights Books,"Howl, and other poems",1959
2103,Johanna M. Smith,031219126X,9780312191269,en,,"Frankenstein: Complete, Authoritative Text With Biographical, Historical, And Cultural Contexts, Critical History, And Essays From Contemporary Critical Perspectives",2000
2104,Ernest Hemingway,0020518609,9780020518600,,Collier Books,The short stories of Ernest Hemingway: critical essays,1986
2105,Anne Tyler,0345446860,9780345446862,en,"Random House Digital, Inc.",Back When We Were Grownups: A Novel,2002
2106,Harper Lee,0446310492,9780446310499,en,Grand Central Pub,To Kill A Mockingbird,1982
2107,Nora Roberts,037348285X,9780373482856,,Silhouette,The best mistake,1994
2108,Ann Major,037348285X,9780373482856,,Silhouette,The best mistake,1994
2109,Dallas Schulze,037348285X,9780373482856,,Silhouette,The best mistake,1994
2110,Lilian Jackson Braun,0515090506,9780515090505,,,The cat who played Brahms,
2111,Patricia Daniels Cornwell,0399145087,9780399145087,,Putnam,Black notice,1999
2112,Andrew M. Greeley,0812590244,9780812590241,,Forge Books,Irish eyes: a Nuala Anne McGrail novel,2001
2113,Rick Davis,0963641328,9780963641328,en,,Totally Useless Office Skills,1996
2114,Catholic Church,1574551108,9781574551105,en,United States Catholic Conference,Catechism Of The Catholic Church,2000
2115,Alfred McBride,0879739304,9780879739300,,Our Sunday Visitor,Father McBride's family catechism: based on the catechism of the Catholic Church,1998
2116,Russell L. Ford,0965712516,9780965712514,,US,The missionary's catechism,1998
2117,Robertson Davies,0670829943,9780670829941,,Viking,The enthusiasms of Robertson Davies,1990
2118,John Colapinto,0060192119,9780060192112,,HarperCollins Publishers,As nature made him: the boy who was raised as a girl,2000
2119,Bill Watterson,0836218256,9780836218251,,Andrews and McMeel,The authoritative Calvin and Hobbes: a Calvin and Hobbes treasury,1988
2120,Jacqueline R. Kasun,0898707129,9780898707120,,Ignatius Press,The war against population: the economics and ideology of world population control,1999
2121,C. S. Lewis,0805420460,9780805420463,,Broadman & Holman Pub,"Mere Christianity: a revised and amplified edition, with a new introduction, of the three books, Broadcast talks, Christian behaviour, and Beyond personality",2000
2122,Salman Rushdie,0140140352,9780140140354,,Granta in association with Penguin,Haroun and the sea of stories,1991
2123,Leslie Meier,1575666529,9781575666525,,Kensington Books,Wedding day murder: a Lucy Stone mystery,2001
2124,Janet Evanovich,0312990456,9780312990459,,St. Martin's Paperbacks,One for the money,2003
2125,Corinne T. Netzer,0440221102,9780440221104,,Dell Pub.,The complete book of food counts,1997
2126,James Patterson,0316969680,9780316969680,,"Little, Brown and Company",The beach house: a novel,2002
2127,Stefano Benni,8807015293,9788807015298,,Feltrinelli,Bar sport duemila,1997
2128,Alessandro Baricco,881787017X,9788817870177,,Rizzoli Publications,Without blood,2002
2129,Alice Adams,0449207463,9780449207468,en,Fawcett,Superior Women,1985
2130,Frederick Buechner,0689109865,9780689109867,,Atheneum,The book of Bebb,1979
2131,Max Frisch,3518368540,9783518368541,,Distribooks Int'l+inc,Homo faber: ein Bericht,2010
